メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備,グレード_fixed,排気量_fixed,車検_fixed,色_fixed,装備_fixed
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備,グレード,,,,排気量
テスラ,モデル３ 4WD,2020,ＡＴ,3L23,4.5,nan,nan,null年 月,,0,,パール,AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,29,YL1YT,5 - すごくきれい,252 ～ 256,2025年09月,ガンＭ,,,,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2023,ＣＡＴ,17,3L23T,3 - 普通,220 ～ 223,2025年09月,,,8.4,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,23,3L23,4 - きれい,195 ～ 199,2025年09月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2020,ＣＡＴ,158,3L23,3 - 普通,119 ～ 122,2025年09月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2020,ＣＡＴ,50,3L23P,5 - すごくきれい,191 ～ 197,2025年09月,パフォーマンス,,,黒,000 AC SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＣＡＴ,28,3L23T,5 - すごくきれい,233 ～ 238,2025年09月,,,,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2023,ＣＡＴ,33,3L13T,5 - すごくきれい,238 ～ 243,2025年09月,,,9.2,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＣＡＴ,15,3L13T,5 - すごくきれい,195 ～ 199,2025年09月,ガンＭ,,,,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 2WD,2019,ＡＴ,46,5 - すごくきれい,230 ～ 234,nan,2025年09月,,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,40,3L23,5 - すごくきれい,203 ～ 207,2025年09月,,,8.7,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,90,3L13,5 - すごくきれい,140 ～ 144,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV AW,,,,,
テスラ,モデル３ 4WD,2024,ＡＴ,3,3L23T,5 - すごくきれい,394 ～ 400,2025年09月,,,9.7,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,91,3L23,4 - きれい,138 ～ 142,2025年09月,,,,パール,000 AC NV TV AW 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,47,3L13B,5 - すごくきれい,177 ～ 182,2025年09月,スタンダードレンジプラス,,8.8,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,34,YL1YT,5 - すごくきれい,275 ～ 278,2025年09月,,,7.9,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＡＴ,32,3L13T,5 - すごくきれい,214 ～ 217,2025年09月,,,,パール,000 AC NV TV AW SR,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,33,YL1YT,5 - すごくきれい,268 ～ 273,2025年09月,,,,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2022,ＣＡＴ,57,YL1YT,5 - すごくきれい,231 ～ 236,2025年09月,ＲＷＤ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2022,ＣＡＴ,20,YL1YT,5 - すごくきれい,280 ～ 284,2025年09月,ＲＷＤ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,53,YL1YT,5 - すごくきれい,250 ～ 253,2025年09月,,,,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＡＴ,51,3L23T,5 - すごくきれい,227 ～ 231,2025年09月,,,7.10,白,000 AC NV TV AW 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,25,3L23B,4 - きれい,203 ～ 208,2025年09月,ロングレンジ,,8.6,パール,000 AC NV TV AW 革,,,,,
テスラ,モデル３ 4WD,2019,ＡＴ,34,3L23,4 - きれい,197 ～ 202,2025年09月,,,8.10,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＸ 5D 2WD,2020,ＡＴ,108,4 - きれい,326 ～ 330,nan,2025年09月,ロングレンジ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,96,3L13B,5 - すごくきれい,133 ～ 136,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,11,YL1YT,5 - すごくきれい,278 ～ 282,2025年09月,,,7.10,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2024,ＡＴ,4,3L23T,4 - きれい,298 ～ 302,2025年09月,,,9.4,ワイン,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,38,3L13B,5 - すごくきれい,195 ～ 201,2025年09月,スタンダードレンジプラス,,8.10,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,66,3L23,5 - すごくきれい,184 ～ 188,2025年09月,,,8.3,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2023,ＣＡＴ,14,3L13T,5 - すごくきれい,232 ～ 235,2025年09月,グレーＭ,,8.9,,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,25,3L23B,5 - すごくきれい,218 ～ 224,2025年09月,ロングレンジ,,8.7,パール,000 AC NV TV SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2024,ＡＴ,8,YL1YT,3 - 普通,215 ～ 219,2025年09月,ＲＷＤ,,,黒,000 AC,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,39,3L23B,5 - すごくきれい,218 ～ 223,2025年09月,ロングレンジ,,8.8,パール,000 AC NV TV AW SR,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＣＡＴ,35,YL1YT,5 - すごくきれい,269 ～ 272,2025年09月,ＲＷＤ,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,49,3L23,5 - すごくきれい,190 ～ 196,2025年09月,ロングレンジ ＡＷＤ,,8.7,白,000 AC AW SR,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,39,YL1YT,5 - すごくきれい,258 ～ 264,2025年09月,,,,青,000 AC NV TV SR,,,,,
テスラ,モデル３ 5D 2WD,2024,ＡＴ,5,3L13T,5 - すごくきれい,358 ～ 363,2025年09月,ＲＷＤ,,9.11,パール,000 AC NV TV AW,,,,,
テスラ,モデルＹ 5D 2WD,2022,ＣＡＴ,32,YL1YT,4 - きれい,259 ～ 264,2025年09月,ベースグレード,,,黒,000 AC NV TV AW SR,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＡＴ,13,YL1YT,5 - すごくきれい,281 ～ 287,2025年09月,ＲＷＤ,,8.8,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2024,ＣＡＴ,10,YL1YT,5 - すごくきれい,295 ～ 298,2025年09月,ＲＷＤ,,,黒,000 AC SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,54,3L23B,5 - すごくきれい,206 ～ 208,2025年09月,ロングレンジ,,8.10,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2020,ＡＴ,51,3L13,5 - すごくきれい,155 ～ 159,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV AW 革,,,,,
テスラ,モデルＳ 5D 2WD,2017,ＡＴ,83,4 - きれい,150 ～ 154,nan,2025年09月,75,,9.3,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＣＡＴ,31,3L13T,5 - すごくきれい,217 ～ 222,2025年09月,,,8.1,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＡＴ,45,YL1YT,4 - きれい,246 ～ 250,2025年09月,,,,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 5D 4WD,2016,ＣＡＴ,31,5 - すごくきれい,243 ～ 246,nan,2025年09月,Ｐ１００Ｄ,,8.7,シルバー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,43,3L23,5 - すごくきれい,209 ～ 211,2025年09月,,,8.7,白,000 AC NV TV AW,,,,,
テスラ,モデル３ 5D 4WD,2020,ＡＴ,26,3L23P,3 - 普通,182 ～ 187,2025年09月,パフォーマンス,,,赤,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 5D 2WD,2017,ＡＴ,42,4 - きれい,163 ～ 166,nan,2025年09月,75,,8.7,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2024,ＣＡＴ,2,YL1YT,5 - すごくきれい,298 ～ 301,2025年09月,ＲＷＤ,,9.3,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,32,3L13,4 - きれい,180 ～ 183,2025年09月,スタンダードレンジプラス,,8.4,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,27,3L23B,5 - すごくきれい,221 ～ 225,2025年09月,ロングレンジ,,8.6,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2025,ＣＡＴ,4,YL1YT,5 - すごくきれい,419 ～ 425,2025年09月,ＲＷＤ,,10.10,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2020,ＡＴ,73,3L13,4 - きれい,142 ～ 146,2025年09月,スタンダードレンジプラス,,8.1,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＣＡＴ,26,3L13,3 - 普通,154 ～ 157,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＸ 5D 4WD,2019,ＣＡＴ,58,5 - すごくきれい,311 ～ 317,nan,2025年09月,１００Ｄ,,8.6,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2024,ＡＴ,9,3L23T,5 - すごくきれい,353 ～ 355,2025年09月,,,10.2,赤,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＣＡＴ,46,3L23T,5 - すごくきれい,215 ～ 218,2025年09月,,,9.4,パール,000 AC NV TV SR 革,,,,,
テスラ,モデルＸ 5D 4WD,2023,ＡＴ,14,XLP,5 - すごくきれい,852 ～ 856,2025年09月,プラッド,,9.1,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＣＡＴ,18,3L13T,5 - すごくきれい,207 ～ 212,2025年09月,,,,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2019,ＣＡＴ,54,3L23P,5 - すごくきれい,204 ～ 207,2025年09月,パフォーマンス,,8.8,シルバー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＡＴ,62,3L13T,5 - すごくきれい,176 ～ 180,2025年09月,,,9.4,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＣＡＴ,46,3L13B,5 - すごくきれい,176 ～ 181,2025年09月,スタンダードレンジプラス,,8.11,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＣＡＴ,23,3L23T,5 - すごくきれい,234 ～ 237,2025年09月,,,9.5,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,136,3L23,4 - きれい,147 ～ 152,2025年09月,ロングレンジ ＡＷＤ,,8.11,白,000 AC NV TV,,,,,
テスラ,モデル３ 5D 2WD,2022,ＣＡＴ,56,3L13T,5 - すごくきれい,178 ～ 181,2025年09月,ＲＷＤ,,7.9,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 4WD,2020,ＡＴ,150,3 - 普通,205 ～ 207,nan,2025年09月,,,7.6,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,56,3L13,5 - すごくきれい,173 ～ 177,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,20,3L23B,5 - すごくきれい,228 ～ 232,2025年09月,ロングレンジ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,2,3L23B,5 - すごくきれい,251 ～ 254,2025年09月,ロングレンジ,,8.10,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2020,ＣＡＴ,24,3L13,5 - すごくきれい,188 ～ 193,2025年09月,スタンダードレンジプラス,,8.1,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＸ 5D 4WD,2019,ＡＴ,39,-1 - 修復歴あり,205 ～ 209,nan,2025年09月,１００Ｄ,,,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 4WD,2024,ＣＡＴ,15,YL3YT,5 - すごくきれい,322 ～ 326,2025年09月,,,9.5,パール,000 AC SR,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,44,3L23B,5 - すごくきれい,205 ～ 209,2025年09月,ロングレンジ,,8.12,グレー,000 AC NV TV AW SR,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,83,3L23B,5 - すごくきれい,171 ～ 175,2025年09月,ロングレンジ,,8.7,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 4WD,2022,ＣＡＴ,34,YL3YPT,5 - すごくきれい,297 ～ 300,2025年09月,パフォーマンス,,7.8,パール,000 AC SR,,,,,
テスラ,モデルＳ 4WD,2018,ＡＴ,113,4 - きれい,161 ～ 166,nan,2025年09月,,,,シルバー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2019,ＡＴ,248,3L23,3 - 普通,89 ～ 93,2025年09月,,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 4WD,2024,ＣＡＴ,25,YL3YPT,5 - すごくきれい,338 ～ 342,2025年09月,パフォーマンス,,9.5,パール,000 AC SR 革,,,,,
テスラ,モデルＹ 5D 4WD,2022,ＡＴ,38,YL3YPT,5 - すごくきれい,314 ～ 318,2025年09月,パフォーマンス,,8.2,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 5D 4WD,2016,ＡＴ,66,5 - すごくきれい,187 ～ 192,nan,2025年09月,９０Ｄ,,8.2,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＣＡＴ,45,YL1YT,5 - すごくきれい,261 ～ 265,2025年09月,ＲＷＤ,,8.4,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,23,3L23B,4 - きれい,207 ～ 211,2025年09月,ロングレンジ,,9.1,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2019,ＡＴ,35,3L23P,5 - すごくきれい,184 ～ 189,2025年09月,パフォーマンス,,,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＡＴ,66,YL1YT,5 - すごくきれい,234 ～ 239,2025年09月,,,,パール,000 AC SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,29,3L13,5 - すごくきれい,198 ～ 201,2025年09月,スタンダードレンジプラス,,7.12,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 4WD,2022,ＡＴ,21,YL3YPT,5 - すごくきれい,334 ～ 338,2025年09月,パフォーマンス,,7.9,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＡＴ,22,YL1YT,5 - すごくきれい,258 ～ 261,2025年09月,,,7.7,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,59,3L23B,5 - すごくきれい,188 ～ 193,2025年09月,ロングレンジ,,8.9,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,33,3L13,5 - すごくきれい,186 ～ 188,2025年09月,スタンダードレンジプラス,,8.10,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2024,ＡＴ,20,3L24PT,5 - すごくきれい,434 ～ 438,2025年09月,,,9.11,赤,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,19,3L13B,5 - すごくきれい,188 ～ 193,2025年09月,スタンダードレンジプラス,,8.9,パール,000 AC NV TV SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,16,YL1YT,5 - すごくきれい,264 ～ 268,2025年09月,,,,パール,000 AC NV TV AW SR,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,44,3L13,5 - すごくきれい,169 ～ 174,2025年09月,スタンダードレンジプラス,,8.6,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,42,3L23B,5 - すごくきれい,212 ～ 217,2025年09月,ロングレンジ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＡＴ,31,YL1YT,5 - すごくきれい,285 ～ 287,2025年09月,ＲＷＤ,,7.12,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＣＡＴ,26,3L23B,5 - すごくきれい,212 ～ 216,2025年09月,ロングレンジ,,,,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＣＡＴ,54,3L13B,5 - すごくきれい,159 ～ 162,2025年09月,スタンダードレンジプラス,,8.7,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＣＡＴ,25,3L13,5 - すごくきれい,184 ～ 187,2025年09月,スタンダードプラス,,8.5,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＸ 5D 4WD,2019,ＡＴ,52,5 - すごくきれい,297 ～ 300,nan,2025年09月,７５Ｄ,,8.4,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＣＡＴ,24,3L23,5 - すごくきれい,211 ～ 215,2025年09月,,,8.3,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,28,3L23,5 - すごくきれい,218 ～ 224,2025年09月,,,8.8,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＸ 5D 4WD,2019,ＣＡＴ,72,5 - すごくきれい,303 ～ 307,nan,2025年09月,１００Ｄ,,8.12,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,16,3L23B,5 - すごくきれい,211 ～ 215,2025年09月,ロングレンジ,,8.6,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2019,ＡＴ,72,3L23,4 - きれい,169 ～ 172,2025年09月,,,8.6,赤,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2021,ＡＴ,5,3L13B,5 - すごくきれい,198 ～ 201,2025年09月,,,8.6,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＡＴ,56,3L13T,5 - すごくきれい,162 ～ 166,2025年09月,,,9.3,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 2WD,2021,ＣＡＴ,29,5 - すごくきれい,427 ～ 431,nan,2025年09月,,,7.11,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,29,YL1YT,5 - すごくきれい,289 ～ 295,2025年09月,,,7.7,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2024,ＣＡＴ,29,YL1YT,5 - すごくきれい,348 ～ 351,2025年09月,ＲＷＤ,,9.11,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＡＴ,54,3L13T,5 - すごくきれい,164 ～ 167,2025年09月,,,9.9,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＣＡＴ,13,3L13B,4 - きれい,177 ～ 181,2025年09月,スタンダードレンジプラス,,8.6,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2020,ＣＡＴ,31,3L13,5 - すごくきれい,164 ～ 170,2025年09月,スタンダードレンジプラス,,8.6,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,44,YL1YT,5 - すごくきれい,250 ～ 255,2025年09月,,,7.9,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2019,ＣＡＴ,33,3L23P,5 - すごくきれい,205 ～ 208,2025年09月,パフォーマンス,,8.11,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2021,ＡＴ,46,3L13B,5 - すごくきれい,150 ～ 154,2025年09月,,,8.10,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＣＡＴ,60,3L23B,5 - すごくきれい,188 ～ 193,2025年09月,,,9.1,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,70,3L13B,5 - すごくきれい,153 ～ 156,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV AW 革,,,,,
テスラ,モデル３ 4WD,2021,ＣＡＴ,15,3L23,5 - すごくきれい,230 ～ 233,2025年09月,,,8.7,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,30,3L13,5 - すごくきれい,140 ～ 143,2025年09月,スタンダードレンジプラス,,9.7,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＡＴ,47,3L23T,5 - すごくきれい,208 ～ 212,2025年09月,,,9.4,赤,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,124,3L13,4 - きれい,126 ～ 128,2025年08月,スタンダードレンジプラス,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 4WD,2022,ＣＡＴ,7,YL3YPT,5 - すごくきれい,338 ～ 342,2025年08月,パフォーマンス,,7.9,パール,000 AC SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＡＴ,47,3L13T,5 - すごくきれい,180 ～ 184,2025年08月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 5D 2WD,2014,ＡＴ,140,SL1SA,4 - きれい,76 ～ 80,2025年08月,85,,,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2022,ＣＡＴ,33,YL1YT,5 - すごくきれい,253 ～ 256,2025年08月,ベースグレード,,,青,000 AC NV TV SR,,,,,
テスラ,モデル３ 5D 2WD,2019,ＣＡＴ,33,3L13,5 - すごくきれい,163 ～ 167,2025年08月,スタンダードレンジプラス,,9.2,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 4WD,2024,ＣＡＴ,29,YL3YPT,5 - すごくきれい,315 ～ 318,2025年08月,,,9.9,白,000 AC 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,52,3L13,5 - すごくきれい,161 ～ 164,2025年08月,スタンダードレンジプラス,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2021,ＡＴ,23,3L23B,5 - すごくきれい,229 ～ 234,2025年08月,ロングレンジ,,8.10,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2020,ＣＡＴ,26,3L13,5 - すごくきれい,182 ～ 185,2025年08月,スタンダードレンジプラス,,8.3,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2024,ＣＡＴ,13,YL1YT,5 - すごくきれい,283 ～ 287,2025年08月,ＲＷＤ,,8.12,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＡＴ,69,YL1YT,5 - すごくきれい,219 ～ 222,2025年08月,ＲＷＤ,,8.1,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＣＡＴ,33,YL1YT,4 - きれい,243 ～ 247,2025年08月,ＲＷＤ,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＣＡＴ,39,3L13T,5 - すごくきれい,190 ～ 194,2025年08月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＣＡＴ,45,3L13T,5 - すごくきれい,191 ～ 195,2025年08月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2024,ＡＴ,16,3L23T,5 - すごくきれい,372 ～ 375,2025年08月,ロングレンジ ＡＷＤ,,9.2,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,38,3L13B,4 - きれい,170 ～ 173,2025年08月,スタンダードレンジプラス,,8.8,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2023,ＡＴ,14,YL1YT,5 - すごくきれい,256 ～ 259,2025年08月,ＲＷＤ,,8.9,赤,000 AC NV TV AW SR 革,,,,,
